word,score
abelmosk,0.0
abenaki,0.0
aberdare,0.0
aberdeen,0.0
aberdeen angus,0.0
aberdonian,0.0
aberrance,0.12208
aberrancy,0.12208
aberrant,0.07599500000000001
aberrate,-0.08847000000000001
aberration,0.21871
abet,0.0
abetalipoproteinemia,-0.42036
abetment,0.0
abettal,0.0
abetter,0.0
abettor,0.0
abeyance,0.0
abeyant,-0.05621
abfarad,0.0
abhenry,0.0
abhor,-0.19821
abhorrence,-0.28345
abhorrent,-0.42036
abhorrer,0.0
abidance,0.25049
abide,0.10518
abide by,0.17964000000000002
abiding,0.15579
abidjan,0.0
abience,0.0
abient,0.067
abies,0.0
abies alba,0.0
abies amabilis,0.0
abies balsamea,0.0
abies bracteata,0.0
abies concolor,0.0
abies fraseri,0.0
abies grandis,0.0
abies lasiocarpa,0.0
abies lowiana,0.0
abies venusta,0.0
abila,0.0
abilene,0.0
ability,0.54222
abiogenesis,0.0
abiogenetic,0.0
abiogenist,0.0
abiotrophy,-0.17327
abject,-0.2937
abjection,-0.07997
abjectly,0.17826
abjuration,-0.38925
abjure,-0.38925
abjurer,0.0
abkhas,0.0
abkhasian,0.0
abkhaz,0.0
abkhazia,0.0
abkhazian,0.0
ablactate,0.0
ablactation,0.0
ablate,-0.0296
ablated,-0.07997
ablation,0.0
ablative,0.082875
ablative absolute,0.0
ablative case,0.0
ablaut,0.21734
ablaze,0.020669999999999997
able,0.44415
able seaman,0.0
able-bodied,0.15793
able-bodied seaman,0.0
able-bodiedism,0.0403
able-bodism,0.0403
ableism,0.0403
ablepharia,0.21734
ablism,0.0403
abloom,0.12208
abls,0.0
ablution,0.0
ablutionary,0.0
ably,0.17826
abm,0.0
abnaki,0.0
abnegate,0.12545
abnegation,0.1067
abnegator,0.0
abney level,0.0
abnormal,-0.3184
abnormal psychology,0.12208
abnormalcy,0.15793
abnormality,-0.50054
abnormally,0.12208
abo,0.0
abo antibodies,0.0
abo blood group system,0.0
abo group,0.0
abo system,0.0
aboard,0.0
abocclusion,0.12208
abode,0.0
abohm,0.0
abolish,0.0
abolishable,0.28394
abolishment,0.0
abolition,0.0
abolitionary,0.0
abolitionism,0.0
abolitionist,0.0
abomasal,0.0
abomasum,0.0
abominable,-0.25985
abominable snowman,0.0
abominably,-0.42033999999999994
abominate,-0.19821
abomination,-0.57547
abominator,-0.28345
abor,0.0
aborad,0.0
aboral,0.0
aboriginal,0.0
aboriginal australian,0.0
aborigine,0.0
abort,-0.239445
aborticide,0.0
abortifacient,-0.141725
abortion,0.0
abortion pill,0.0
abortion-inducing drug,0.0
abortionist,0.0
abortive,-0.19821
abortively,0.15793
abortus,0.0
aboulia,0.0
aboulic,-0.42036
abound,-0.0296
abound in,-0.07997
abounding,-0.19821
about,0.055854999999999995
about turn,0.0
about-face,0.0
above,0.008910000000000001
above all,0.0
above-mentioned,-0.07997
above-named,-0.07997
aboveboard,-0.04354999999999999
aboveground,0.0
abracadabra,0.0
abrachia,0.0
abradant,0.0
abrade,-0.02298
abrader,0.0
abrading stone,0.0
abraham,0.0
abraham lincoln,0.0
abraham stoker,0.0
abraham's bosom,0.0
abramis,0.0
abramis brama,0.0
abranchial,0.0
abranchiate,0.0
abranchious,0.0
abrase,0.0
abrasion,0.0056
abrasive,-0.09183999999999999
abrasive material,0.0
abrasiveness,-0.043039999999999995
abreact,-0.39584
abreaction,0.17826
abreast,-0.054245
abridge,0.0
abridged,0.0
abridgement,0.0
abridger,0.0
abridgment,0.0
abroach,0.0
abroad,0.0
abrocoma,0.0
abrocome,0.0
abrogate,0.0
abrogation,0.0
abrogator,0.0
abronia,0.0
abronia elliptica,0.0
abronia fragrans,0.0
abronia latifolia,0.0
abronia maritima,0.0
abronia umbellata,0.0
abronia villosa,0.0
abrupt,-0.43132
abruptio placentae,0.0
abruption,0.0
abruptly,0.0
abruptly-pinnate,0.15793
abruptly-pinnate leaf,0.15793
abruptness,0.06405
abruzzi,0.0
abruzzi e molise,0.0
abs,0.0
abscess,0.0
abscessed,-0.34088
abscessed tooth,0.0
abscise,0.0
abscissa,0.0
abscission,0.0
abscond,0.0
absconder,0.17826
abscondment,0.0
abseil,0.0
abseiler,0.0
absence,-0.29934
absence seizure,0.0
absence without leave,-0.19821
absent,-0.11535
absentee,-0.38925
absentee ballot,0.0
absentee rate,-0.34088
absenteeism,0.12208
absently,0.21734
absentminded,0.08478
absentmindedly,0.21734
absentmindedness,0.08478
absinth,0.0
absinthe,0.0
absinthe oil,0.0
absolute,0.12934
absolute alcohol,-0.17327
absolute ceiling,0.0
absolute frequency,0.0
absolute magnitude,0.0
absolute majority,0.0
absolute pitch,0.0
absolute scale,0.0
absolute space,0.0
absolute temperature,0.0
absolute threshold,0.0
absolute value,0.0
absolute viscosity,0.0
absolute zero,0.0
absolutely,0.21734
absoluteness,0.15199000000000001
absolution,0.0
absolutism,-0.15855999999999998
absolutist,0.0
absolutistic,0.0
absolve,-0.06059
absolved,0.28394
absolver,0.15793
absolvitory,0.15793
absorb,0.15161
absorbable,0.21734
absorbance,0.0
absorbate,0.21734
absorbed,0.054329999999999996
absorbefacient,0.17826
absorbency,0.0
absorbent,0.0
absorbent cotton,0.0
absorbent material,0.0
absorber,0.0
absorbing,0.21734
absorptance,0.0
absorption,0.04895
absorption band,0.0
absorption coefficient,0.0
absorption factor,0.0
absorption indicator,0.0
absorption spectrum,0.0
absorption unit,0.0
absorptive,0.0
absorptivity,0.0
absquatulate,0.0
abstain,-0.19771
abstainer,0.0
abstemious,0.12604
abstemiously,0.15793
abstemiousness,-0.1294
abstention,0.0403
abstentious,-0.38925
abstinence,-0.38301
abstinent,-0.194625
abstract,0.020423333333333335
abstract art,0.0
abstract artist,0.0
abstract entity,0.0
abstract expressionism,0.12208
abstract thought,0.12208
abstracted,0.08478
abstractedly,0.21734
abstractedness,0.0
abstracter,0.0
abstraction,0.0
abstractionism,-0.09134
abstractionist,0.0
abstractive,0.17826
abstractly,0.0
abstractness,-0.01819
abstractor,0.0
abstruse,-0.031180000000000003
abstrusely,-0.19821
abstruseness,0.09162000000000001
abstrusity,0.17826
absurd,-0.07320499999999999
absurdity,-0.23892
absurdly,0.0
absurdness,0.0
abu ali al-husain ibn abdallah ibn sina,0.0
abu dhabi,0.0
abu hafs al-masri brigades,0.0
abu nidal organization,0.0
abu sayyaf,0.0
abudefduf,0.0
abudefduf saxatilis,0.0
abuja,0.0
abukir,0.0
abukir bay,0.0
abul-walid mohammed ibn-ahmad ibn-mohammed ibn-roshd,0.0
abulia,0.0
abulic,-0.42036
abundance,0.0
abundant,0.6026
abundantly,0.0
abuse,-0.86599
abused,-0.17709
abuser,-0.19821
abusive,-0.78577
abusively,-0.031180000000000003
abut,0.0
abutilon,0.0
abutilon theophrasti,0.0
abutment,0.0
abutment arch,0.0
abutter,0.0
abuzz,0.0
abvolt,0.0
abwatt,0.0
aby,-0.07997
aby moritz warburg,0.0
aby warburg,0.0
abydos,0.0
abye,-0.07997
abyla,0.0
abysm,0.0
abysmal,-0.34265
abysmally,-0.42036
abyss,0.0
abyssal,0.0
abyssal zone,0.0
abyssinia,0.0
abyssinian,0.0
abyssinian banana,0.0
abyssinian cat,0.0
ac,0.0
acacia,0.0
acacia auriculiformis,0.0
acacia cambegei,-0.38925
acacia catechu,0.0
acacia dealbata,0.0
acacia farnesiana,0.0
acacia melanoxylon,0.08478
acacia pycnantha,0.0
acacia xanthophloea,0.0
academe,0.0
academia,0.0
academic,0.21600500000000003
academic administrator,0.0
academic costume,0.0
academic degree,0.0
academic department,0.0
academic freedom,-0.28345
academic gown,-0.07997
academic program,0.0
academic relation,0.12208
academic requirement,0.0
academic robe,-0.07997
academic session,0.0
academic term,0.0
academic year,0.0
academically,0.12208
academician,0.08411
academicianship,0.0
academicism,-0.07997
academism,-0.07997
academy,0.03539
academy award,0.0
academy of motion picture arts and sciences,0.0
academy of television arts and sciences,0.0
acadia,0.0
acadia national park,0.15793
acadian,0.0
acalypha,0.0
acalypha virginica,0.0
acantha,0.0
acanthaceae,0.0
acanthion,0.0
acanthisitta,0.0
acanthisitta chloris,0.0
acanthisittidae,0.0
acanthocephala,0.0
acanthocephalan,-0.19821
acanthocereus,0.0
acanthocereus pentagonus,0.0
acanthocereus tetragonus,0.0
acanthocybium,0.0
acanthocybium solandri,0.0
acanthocyte,-0.07997
acanthocytosis,-0.07997
acanthoid,0.12208
acantholysis,0.0
acanthoma,0.0
acanthophis,0.0
acanthophis antarcticus,-0.28345
acanthopterygian,0.0
acanthopterygii,0.12208
acanthoscelides,0.0
acanthoscelides obtectus,0.0
acanthosis,0.0
acanthosis nigricans,-0.0611
acanthotic,0.0
acanthous,0.12208
acanthuridae,0.0
acanthurus,0.0
acanthurus chirurgus,0.0
acanthus,0.0
acanthus family,0.0
acanthus mollis,0.0
acapnia,0.0
acapnial,0.0
acapnic,0.0
acapnotic,0.0
acapulco,0.0
acapulco de juarez,0.0
acapulco gold,0.0
acaracide,0.0
acardia,-0.34088
acariasis,0.0
acaricide,0.0
acarid,0.0
acaridae,0.0
acaridiasis,0.0
acarina,0.0
acarine,0.0
acariosis,0.0
acaroid resin,0.0
acarophobia,-0.07997
acarpellous,0.0
acarpelous,0.0
acarpous,-0.28345
acarus,0.0
acaryote,-0.28345
acatalectic,-0.10940000000000001
acataphasia,-0.34088
acathexia,-0.28345
acathexis,-0.28345
acaudal,-0.19821
acaudate,-0.19821
acaulescent,0.15793
acc,0.0
accaroid resin,0.0
accede,-0.0033200000000000005
accelerando,0.0
accelerate,0.0
accelerated,0.0
acceleration,0.0
acceleration unit,0.0
accelerative,-0.0611
accelerator,0.0
accelerator factor,-0.19821
accelerator pedal,0.0
acceleratory,-0.0611
accelerometer,0.0
accent,0.16562000000000002
accent mark,0.0
accented,0.0
accenting,0.12208
accentor,0.0
accentual,0.0
accentual system,0.0
accentuate,0.0
accentuation,0.1067
accept,0.3428
acceptability,0.067
acceptable,0.36908
acceptableness,0.067
acceptably,0.21734
acceptance,0.50316
acceptance sampling,0.0
acceptant,0.15793
acceptation,0.1777
accepted,0.21734
accepting,0.08478
acceptive,0.06992000000000001
acceptor,0.0
acceptor rna,-0.28345
access,0.0
access code,0.0
access road,0.0
access time,0.0
accessary,0.08913
accessibility,0.17537
accessible,0.39061
accession,0.008884999999999999
accessional,0.12208
accessorial,0.17826
accessory,0.09367
accessory after the fact,0.0
accessory before the fact,0.0
accessory cephalic vein,0.0
accessory during the fact,-0.07997
accessory fruit,0.0
accessory hemiazygos vein,0.0
accessory hemiazygous vein,0.0
accessory nerve,0.0
accessory vertebral vein,0.0
accho,0.0
acciaccatura,0.0
accidence,0.0
accident,-0.60055
accident surgery,0.0
accident-prone,-0.07997
accidental,-0.40807000000000004
accidental injury,-0.42036
accidentally,0.12774000000000002
accipiter,0.0
accipiter cooperii,0.0
accipiter gentilis,0.0
accipiter nisus,0.0
accipitridae,0.0
accipitriformes,0.0
accipitrine,0.0
acclaim,0.25064000000000003
acclamation,0.28394
acclimate,-0.28345
acclimation,0.0
acclimatisation,0.0
acclimatise,-0.28345
acclimatization,0.0
acclimatize,-0.28345
acclivitous,0.0
acclivity,0.0
accolade,0.21734
accommodate,0.28026
accommodating,0.21734
accommodating iol,0.0
accommodating lens implant,0.0
accommodatingly,0.0
accommodation,0.4806
accommodation endorser,-0.34088
accommodation ladder,0.0
accommodation reflex,0.0
accommodational,0.0
accommodative,0.34273000000000003
accommodator,0.0
accompanied,0.0
accompaniment,0.0
accompanist,0.0
accompany,0.0
accompanying,0.0
accompanying vein,0.0
accompanyist,0.0
accomplice,0.0
accomplish,0.66303
accomplishable,0.15793
accomplished,0.28448
accomplished fact,0.0403
accomplishment,0.7663800000000001
accord,0.304615
accord and satisfaction,0.0
accordance,-0.08406
accordance of rights,0.12208
accordant,0.23008
according,0.1067
accordingly,0.058660000000000004
accordion,0.0
accordion door,0.0
accordionist,0.0
accost,0.1067
accouchement,0.0
accoucheur,0.0
accoucheuse,0.0
account,0.04829
account book,0.0
account executive,0.0
account for,0.0
account payable,0.12208
account representative,0.0
account statement,0.0
accountability,0.0
accountable,0.0
accountancy,0.0
accountant,0.0
accountantship,0.0
accounting,0.0
accounting data,0.0
accounting entry,0.0
accounting firm,0.0
accounting principle,0.0
accounting standard,0.0
accounting system,0.0
accounts payable,0.0
accounts receivable,0.0
accouter,0.0
accoutered,0.0
accouterment,-0.28345
accoutre,0.0
accoutred,0.0
accoutrement,-0.28345
accra,0.0
accredit,0.0
accreditation,0.0
accredited,0.0
accrete,0.0
accretion,0.0808
accretionary,-0.28345
accretive,-0.19821
accroides,0.0
accroides gum,0.0
accroides resin,0.0
accrual,0.0
accrual basis,0.0
accrue,0.0
accrued,0.0
accruement,0.0
acculturate,0.0
acculturation,0.1619
acculturational,0.0
acculturative,0.0
accumbent,-0.07997
accumulate,0.0
accumulated,0.0
accumulation,-0.09325
accumulative,0.17964000000000002
accumulator,0.0
accumulator register,0.0
accuracy,0.33081
accurate,0.61745
accurately,0.15754
accurse,-0.0611
accursed,-0.44531000000000004
accurst,-0.19821
accusal,0.0
accusation,-0.35913
accusative,-0.08351
accusative case,0.0
accusatorial,0.0
accusatory,-0.34088
accuse,-0.6281800000000001
accused,0.0
accuser,-0.08901
accusing,-0.34088
accusingly,0.08478
accusive,-0.34088
accustom,0.0
accustomed,0.2169
ace,0.3299266666666667
ace inhibitor,0.0
ace of clubs,0.0
ace of diamonds,0.0
ace of hearts,0.0
ace of spades,-0.07997
acebutolol,0.0
acedia,-0.01819
acellular,-0.34088
acellular slime mold,-0.07997
acentric,-0.29522
acentric chromosome,-0.19821
acephalia,-0.34088
acephalism,-0.34088
acephalous,0.0403
acephaly,-0.34088
acer,0.0
acer argutum,0.0
acer campestre,0.0
acer circinatum,0.0
acer glabrum,0.0
acer japonicum,0.0
acer macrophyllum,0.0
acer negundo,0.0
acer negundo californicum,0.0
acer palmatum,0.0
acer pennsylvanicum,0.0
acer platanoides,0.0
acer pseudoplatanus,0.0
acer rubrum,0.0
acer saccharinum,0.0
acer saccharum,0.0
acer spicatum,0.0
aceraceae,0.0
acerate,0.0
acerate leaf,0.0
acerb,-0.32244
acerbate,-0.18454
acerbic,-0.32244
acerbity,-0.37434
acerola,0.0
acerose,0.0
acervate,0.0
acervulus,0.0
acetabular,0.0
acetabulum,0.0
acetal,0.0
acetaldehyde,0.0
acetaldol,0.0
acetamide,0.0
acetaminophen,-0.34088
acetanilid,0.0
acetanilide,0.0
acetate,0.0
acetate disk,0.0
acetate rayon,0.0
acetic,0.0
acetic acid,0.0
acetic anhydride,0.0
acetify,-0.0296
acetin,-0.07997
acetoacetic acid,-0.28345
acetone,0.0
acetone body,0.0
acetonemia,-0.19821
acetonic,0.0
acetonuria,-0.34088
acetophenetidin,0.0
acetose,-0.19821
acetous,-0.19821
acetphenetidin,0.0
acetum,-0.0296
acetyl,0.0
acetyl chloride,0.0
acetyl group,0.0
acetyl radical,0.0
acetylate,0.0
acetylation,0.0
acetylcholine,0.0
acetylene,0.0
acetylenic,0.0
acetylic,0.0
acetylise,0.0
acetylize,0.0
acetylsalicylic acid,0.0
achaea,0.0
achaean,0.0
achaian,0.0
ache,-0.427355
achene,0.0
achenial,0.0
acheron,0.0
acheronian,-0.07997
acherontia,0.0
acherontia atropos,0.0
acherontic,-0.07997
acheson,0.0
acheson process,0.0
acheta,0.0
acheta assimilis,0.0
acheta domestica,0.0
achievability,0.12208
achievable,0.15793
achieve,0.72301
achievement,0.0
achiever,0.15793
achille ratti,0.0
achillea,0.0
achillea millefolium,0.0
achillea ptarmica,0.0
achilles,0.0
achilles tendon,0.0
achilles' heel,0.12208
achimenes,0.0
aching,-0.29343
achira,0.0
achlamydeous,-0.38925
achlorhydria,-0.38925
achlorhydric,-0.17327
achmad sukarno,0.0
achoerodus,0.0
achoerodus gouldii,0.12208
acholia,-0.28345
achomawi,0.0
achondrite,-0.28345
achondritic,-0.12619
achondroplasia,-0.34088
achondroplastic,-0.07997
achondroplasty,-0.34088
achras,0.0
achras zapota,0.0
achromasia,-0.38925
achromatic,-0.05621
achromatic color,-0.07997
achromatic colour,-0.07997
achromatic lens,0.0
achromatic vision,0.0
achromaticity,0.0
achromatin,0.0
achromatinic,0.0
achromatise,0.0
achromatism,0.0
achromatize,0.0
achromatous,-0.28345
achromia,-0.38925
achromic,0.0
achromous,0.0
achromycin,0.0
achy,-0.49173999999999995
achylia,-0.02386
achylia gastrica,-0.02386
acicula,0.0
acicular,0.0
aciculate,0.0
acid,-0.442815
acid anhydrides,0.0
acid dye,0.0
acid halide,0.0
acid head,0.0
acid hydrogen,0.0
acid precipitation,0.0
acid rain,0.0
acid rock,0.0
acid test,0.08478
acid value,0.12208
acid-base balance,0.0
acid-base equilibrium,0.0
acid-base indicator,0.0
acid-fast,-0.17327
acid-forming,-0.34088
acid-loving,-0.19821
acid-tasting,-0.34088
acid-wash,0.0
acidemia,-0.38925
acidic,-0.1729
acidic hydrogen,0.0
acidification,0.0
acidify,-0.0296
acidimetric,0.0
acidimetry,0.0
acidity,-0.06293
acidophil,0.0
acidophile,0.0
acidophilic,0.0
acidophilous,0.0
acidophilus,-0.07997
acidophilus milk,-0.07997
acidosis,0.0
acidotic,0.08478
acidulate,-0.07997
acidulent,-0.17327
acidulous,-0.17327
acidulousness,-0.07997
aciduric,0.0
acinar,0.0
acinic,0.0
acinonyx,0.0
acinonyx jubatus,0.0
acinos,0.0
acinos arvensis,0.0
acinose,0.0
acinous,0.0
acinus,0.0
acipenser,0.0
acipenser huso,0.0
acipenser transmontanus,0.0
acipenseridae,0.0
ack-ack,0.0
ack-ack gun,0.0
ackee,0.0
acknowledge,0.36748000000000003
acknowledgeable,0.28394
acknowledged,0.16965999999999998
acknowledgement,0.39807
acknowledgment,0.01023
aclant,0.0
aclinic line,0.0
acme,0.1067
acne,-0.71267
acne rosacea,-0.28345
acne vulgaris,0.0
acned,-0.28345
acneiform,-0.17327
acnidosporidia,0.12208
acocanthera,0.0
acocanthera oblongifolia,0.0
acocanthera oppositifolia,0.0
acocanthera spectabilis,0.0
acocanthera venenata,0.0
acokanthera,0.0
acold,-0.38925
acolyte,-0.28345
aconcagua,0.0
aconite,0.0
aconitum,0.0
aconitum lycoctonum,0.0
aconitum napellus,0.0
acoraceae,0.0
acorea,-0.34088
acores,0.0
acorn,0.0
acorn barnacle,0.0
acorn cup,0.0
acorn squash,0.0
acorn tube,0.0
acorn-shaped,0.12208
acorus,0.0
acorus calamus,0.0
acousma,0.0
acoustic,0.0
acoustic aphasia,-0.34088
acoustic buoy,0.0
acoustic delay line,0.0
acoustic device,0.0
acoustic gramophone,0.0
acoustic guitar,0.15793
acoustic impedance,0.0
acoustic meatus,0.0
acoustic modem,0.0
acoustic nerve,0.0
acoustic phenomenon,0.0
acoustic power,0.12208
acoustic projection,0.21734
acoustic radiation pressure,0.0
acoustic reactance,0.0
acoustic resistance,0.0
acoustic spectrum,0.0
acoustic storage,0.0
acoustic wave,0.0
acoustical,0.0
acoustically,0.15793
acoustician,0.0
acousticophobia,0.0
acoustics,0.38844
acquaint,0.08411
acquaintance,0.15672
acquaintanceship,0.21734
acquainted,0.28394
