neg,neu,pos,compound,line
0.0,0.903,0.097,0.4215,Her policy is to decline payment of travel and other expenses from organizations her agency regulates - a rule that Mr. D'Amato and his fellow junketeers would wisely emulate.
0.072,0.759,0.169,0.4215,"The Thalia, the popular movie revival house on West 95th Street, closed recently, a victim of the neighborhood boom it helped in a small way to create."
0.136,0.864,0.0,-0.296,"Occupying prime space in a fast-forward real estate market, the theater could no longer keep up."
0.0,0.429,0.571,0.4581,Dreams won't pay the rent.
0.0,1.0,0.0,0.0,"But those who looked up to the works of Rene Clair, Fritz Lang and Luis Bunuel from the Thalia's oddly angled floor got something priceless."
0.0,0.635,0.365,0.8481,"Film lovers and future directors slouched in its unsteady seats, sharing a passion for movies and a common frame of reference."
0.0,1.0,0.0,0.0,"When Woody Allen sent a baby buggy bouncing down steps in ''Bananas,'' Thalia goers recognized the baby buggy from ''Potemkin'' and roared."
0.153,0.767,0.08,-0.4767,Movie buffs will find other dark corners of Manhattan where the air is cool with a touch of evil and Catherine beguiles Jules and Jim.
0.0,0.839,0.161,0.3612,"But on the Upper West Side, Thalia, muse of comedy and idylls, is homeless."
0.0,0.766,0.234,0.81,President Bush greeted fellow summiteers at their meeting in Houston last week with a ringing but ungrammatical declaration that ''a new world of freedom lays before us.''
0.0,1.0,0.0,0.0,"The major wire services and most newspapers - The A.P., U.P.I., Reuters, The Washington Post, Newsday and The New York Times, among others - reported it verbatim."
0.0,1.0,0.0,0.0,"But ''lays'' (incorrect) became ''lies'' (correct) in some other papers, including The Los Angeles Times, The Christian Science Monitor, The Washington Times and even Japan's Kyodo News Service."
0.303,0.569,0.128,-0.4019,"It's a common problem for editors, whether to clean up a speaker's mistakes or leave them as spoken."
0.0,0.721,0.279,0.7351,"When corrections are made, strict grammarians might hope that the speaker notices and maybe even appreciates the effort."
0.0,1.0,0.0,0.0,Not Mr. Bush.
0.0,1.0,0.0,0.0,"One day after he misused ''lays'' he flubbed again, with a vengeance."
0.246,0.644,0.109,-0.5994,"Presiding at dinner at Houston's Museum of Fine Arts, he greeted his guests anew: ''There is no work here tonight - no communiques, no amendments, no language to be corrected."
0.0,0.646,0.354,0.7708,We want you to have a very good time in this museum that we are very proudful of.''
0.0,0.0,1.0,0.4404,Proudful.
0.0,1.0,0.0,0.0,"As in, before a fall."
0.048,0.859,0.093,0.3182,"When New York City and Westchester shoppers pay for their groceries at D'Agostino supermarkets this month, they can also help provide hot meals for the homebound elderly."
0.0,0.556,0.444,0.6808,A clever innovation at the checkout counter makes it possible.
0.0,1.0,0.0,0.0,Customers are asked to ''round up'' their bills to the next dime or dollar.
0.0,0.915,0.085,0.3818,"The extra change goes to Citymeals-on-Wheels, which, in cooperation with New York City's Department for the Aging, delivers hot meals to nearly 8,000 homebound elderly on weekends and holidays."
0.0,1.0,0.0,0.0,"Any amount can be given, from pennies to dollars."
0.0,1.0,0.0,0.0,The customer's receipt itemizes the donation along with the applesce and prodc.
0.0,1.0,0.0,0.0,"Some retailers have long permitted collection cans at the checkout, but others have been deterred by theft."
0.0,0.897,0.103,0.3182,The computerized cash register's ability to separate contributions from purchases and record the total now enables collecting donations with regular receipts.
0.0,1.0,0.0,0.0,"In the first week of the February campaign, the region's 24 D'Agostino stores collected more than $10,000, enough to buy 2,283 hot meals for Citymeals's clients."
0.0,1.0,0.0,0.0,Small change; big effect.
0.115,0.885,0.0,-0.296,"When a worried Iraq sought Western intervention against an intolerant, revolutionary Iran, it advertised itself as a moderate, civilized society."
0.167,0.737,0.096,-0.3506,"The West stepped in, for its own good reasons, but few were fooled by the Iraqi masquerade."
0.0,1.0,0.0,0.0,Saddam Hussein's Baghdad dictatorship is one of the world's most barbaric tyrannies.
0.121,0.879,0.0,-0.5267,"The point is grimly driven home by a new Amnesty International report, which charges that Iraq has for years targeted the children of political opponents to obtain information and to force confessions from their parents."
0.163,0.837,0.0,-0.765,"One released prisoner said Iraqi police did this to his family to persuade him to talk: ''Mother, three sisters and three brothers with five children between 5 and 13 were arrested and brought in front of me."
0.0,1.0,0.0,0.0,They were subjected to beatings on the soles of the feet and electric shocks.''
0.0,1.0,0.0,0.0,"In 1983, 8,000 males in one Kurdish village, including 315 children, were reportedly driven away in trucks."
0.306,0.694,0.0,-0.296,All vanished and left no trace.
0.189,0.752,0.058,-0.6908,"Recall, also, that Iraq first used chemical weapons in its war with Iran, then last year gassed its own Kurdish citizens as well, driving thousands across the border into Turkey."
0.353,0.647,0.0,-0.7964,"In its contempt for human life and pain, secular Iraq seems indistinguishable from fundamentalist Iran."
0.0,0.75,0.25,0.4588,Finding a clean patch of sand has become a real challenge on public beaches and playgrounds.
0.085,0.915,0.0,-0.0772,There may be fewer smokers but they seem to leave ever more cigarette butts behind.
0.0,0.935,0.065,0.2023,"At Washington Square Park in Manhattan, for example, it's not unusual to see smokers put out their cigarettes in the same sandbox their children are playing in."
0.0,1.0,0.0,0.0,A mother just back from Connecticut and Rhode Island reports butt-strewn conditions at parks and beaches.
0.27,0.6,0.13,-0.34,The problem challenges the ingenuity of park officials.
0.0,0.787,0.213,0.4019,Signs reminding smokers not to flick butts into sandboxes would help.
0.149,0.722,0.129,-0.1027,"So would issuing tickets, like those issued to violators of New York City's ''pooper scooper'' law."
0.0,1.0,0.0,0.0,"Public concern about foul indoor air is forcing smokers to adjust to restraints in offices, restaurants and airplanes."
0.0,1.0,0.0,0.0,A new etiquette for outdoor butt disposal ought not be far behind.
0.0,1.0,0.0,0.0,"For tens of thousands of Manhattan-bound New Jersey commuters, morning rush hour usually means a slow crawl under the Hudson."
0.0,1.0,0.0,0.0,The New Jersey Department of Transportation sensibly proposes a second Lincoln Tunnel lane exclusively for buses.
0.0,0.909,0.091,0.25,"The existing bus lane, which operates only during peak hours, was created from one of the three outbound lanes in 1971."
0.0,1.0,0.0,0.0,"That left inbound cars, trucks and other vehicles with three lanes."
0.0,0.945,0.055,0.2023,But the dramatic growth of tunnel traffic has produced an absurd imbalance: 80 percent of inbound commuters ride buses but only 25 percent of the tunnel's carrying capacity is reserved for them.
0.0,0.874,0.126,0.3182,The proposal to use one of the three inbound lanes would increase the figure to 50 percent.
0.147,0.853,0.0,-0.6705,"By reducing access of passenger cars and trucks to Manhattan, the second bus lane may also discourage some of the traffic that now clogs midtown streets and adds to New York's air pollution problem."
0.299,0.701,0.0,-0.5719,Automobile commuters and trucking concerns will no doubt oppose the second bus lane.
0.0,0.658,0.342,0.3818,Bus commuters have the stronger case.
0.366,0.537,0.097,-0.8402,Legislation on bias-related crime ought to be easy to pass: Who could oppose measures to curb violence based on prejudice?
0.0,0.856,0.144,0.4939,"Governor Cuomo's bill, now before the State Legislature, was inspired by the Howard Beach incident and introduced five months ago."
0.327,0.673,0.0,-0.5267,It would stiffen criminal penalties for such acts.
0.0,1.0,0.0,0.0,"That seems sensible, but the measure has encountered opposition on two grounds."
0.138,0.762,0.1,-0.2023,"Senate leaders worry about including ''sexual orientation'' along with race, religion and other widely accepted bases for protection."
0.0,1.0,0.0,0.0,Their objection defies reason.
0.0,0.839,0.161,0.2748,Including sexual orientation hardly promotes homosexuality or any other way of life.
0.256,0.744,0.0,-0.4767,The issue is protection of citizens from unprovoked physical attack.
0.231,0.769,0.0,-0.6249,No New Yorker should have to worry about being set upon because of someone else's feelings about sexual orientation.
0.19,0.752,0.059,-0.6124,"Substantial criticism comes from the state's district attorneys, who worry that the Cuomo bill would inadvertently erect a standard of proof that would be impossible to meet."
0.0,0.825,0.175,0.1779,That issue can and should be resolved by negotiation.
0.189,0.811,0.0,-0.5898,Two studies published in The New England Journal of Medicine last week won't help the obese drop any pounds but the research should lift another enormous weight: guilt.
0.145,0.855,0.0,-0.5267,"Much of the medical profession, and most of the public, have long assumed that the cause of unhealthy poundage was overeating."
0.332,0.49,0.178,-0.5358,''I just can't seem to help gaining weight'' was simply a weak apology for a lack of self-discipline.
0.116,0.884,0.0,-0.2732,The new studies report that the tendency to fat is the result of a low rate of metabolism.
0.128,0.872,0.0,-0.3612,The overweight get fat more because their bodies burn calories too slowly than because they eat too much.
0.111,0.889,0.0,-0.3612,"As Dr. Jules Hirsch of Rockefeller University wrote in an editorial accompanying the studies, these overweight people are ''born with a handicap.''"
0.0,0.865,0.135,0.3612,"Like other handicapped people, he adds, they must learn how to live with and correct for theirs."
0.263,0.737,0.0,-0.6557,That doing so requires a lifelong battle won't come as news to hundreds of thousands of the overweight.
0.304,0.591,0.105,-0.5719,"But they can take some comfort: they no longer need to battle blame, either from others or themselves."
0.0,0.796,0.204,0.5994,"Skadden, Arps, Slate, Meagher &amp;amp; Flom, the huge New York law firm, announced recently that it would create a $10 million endowment to provide public legal services."
0.127,0.654,0.219,0.34,The endowment will support up to 25 lawyers to work in poverty and public interest law offices across the country.
0.0,0.667,0.333,0.7906,"That's an impressive commitment, even for a firm with 850 lawyers who charge well over $200 million in fees annually."
0.242,0.583,0.175,-0.3818,It's also a reminder of the need: only a fraction of poor Americans can get help with their legal problems.
0.11,0.833,0.057,-0.34,"The role for the private bar grows with each year of the Reagan Administration, which has tried to starve the Federal Legal Services Corporation."
0.0,0.662,0.338,0.6249,Lawyers as well as their clients benefit from such pro bono work.
0.0,1.0,0.0,0.0,Serving only the affluent limits their consciousness and diminishes the practice of law as a profession.
0.163,0.714,0.123,-0.7783,"Jordan Greenstein letter says it is US responsibility to help victims of violence in Sudan To the Editor: Re ''The U.N. and U.S. in Urgent Appeals to Help Refugees in Sudan'' (news article, July 29): To the Editor: Re ''The U.N. and U.S. in Urgent Appeals to Help Refugees in Sudan'' (news article, July 29): The government of Sudan has idly sat by and watched tens of thousands of its own people being killed and many raped."
0.124,0.668,0.208,0.281,The United Nations cannot allow these crimes against humanity to continue.
0.136,0.704,0.161,0.128,"It cannot depend on others, such as the African Union, to take care of the problem."
0.153,0.739,0.108,-0.2263,"If the African Union had any intention of helping these suffering people, it would have by now."
0.0,1.0,0.0,0.0,It is time for us to take action.
0.0,1.0,0.0,0.0,Prime Minister Tony Blair was right to suggest sending troops.
0.0,1.0,0.0,0.0,"If there was ever a right time to use military force, it is now."
0.0,0.787,0.213,0.4019,It is our responsibility to help before it is too late.
0.0,0.865,0.135,0.3612,"With Central Park as its backyard, the Metropolitan Museum adding a garden might seem like painting the lily."
0.0,0.873,0.127,0.4404,"But the Met's new rooftop of cultivation, the gift of Iris and B. Gerald Cantor, is more than a garden in a garden."
0.0,0.843,0.157,0.624,"It's a 20th-century garden, naturally fashioned of stone and steel, planted in view of New York City, the most amazing stone garden of all."
0.0,1.0,0.0,0.0,In this garden all paths lead to the wild Manhattan skyline and the bridges that loop beyond.
0.0,1.0,0.0,0.0,Seymour Lipton's ''Catacomb'' is hollowed into the city's granite hills; David Smith's geometric planes wait to be fitted to the unfinished horizon.
0.0,1.0,0.0,0.0,Even Louise Bourgeois's big marble ''Eyes'' are fixed upon the rising wall of midtown and the towers tumbling down Fifth Avenue.
0.0,0.906,0.094,0.3612,"The garden is just right for a twilight, when the sinking sun sets the avenues afire and pinpoints of light wink from windows like a million stars."
0.0,1.0,0.0,0.0,"Amid the striving that is Manhattan's heartbeat, introspection has carved a niche."
0.172,0.707,0.121,0.0,"In its own twilight, the 20th century still searches every direction, determined to leave no stone unturned."
0.134,0.697,0.169,-0.0772,"New York City's Transit Authority, faced with losses on bus service, does well to re-evaluate bus routes."
0.471,0.529,0.0,-0.8689,It ought not to be deterred by the initial complaints from riders fearing abandonment.
0.0,1.0,0.0,0.0,The T.A. claims bus passengers have changed their travel patterns in the last decade.
0.0,0.865,0.135,0.4215,"In part, this is the result of competition for passengers offered by the T.A. 's own improving subway service."
0.0,1.0,0.0,0.0,"But buses, especially in lightly populated areas, also face stiff competition from privately owned vans."
0.069,0.837,0.094,0.128,"They are cheaper to operate than buses, flexible in their scheduling and unburdened by costly and complex work rules."
0.0,1.0,0.0,0.0,"The shifts, the T.A. says, have left some city bus routes impossibly underused."
0.0,1.0,0.0,0.0,The plan is to move equipment to more heavily traveled lines.
0.067,0.672,0.261,0.5574,That's good management - so long as the authority gives affected riders a chance to make their case before changes are made.
0.0,1.0,0.0,0.0,"To the extent that vans substitute for buses, there are additional issues."
0.0,0.698,0.302,0.7783,"The public needs to be assured that economy is not purchased through a reduction in safety standards, comfort, insurance protection and reliability."
0.118,0.776,0.106,-0.3182,The burden of proof that the route changes are necessary rests on the authority and the board of the Metropolitan Transportation Authority.
0.0,0.69,0.31,0.4019,Their reasons so far seem amply justified.
0.111,0.889,0.0,-0.25,Mystery fiction is to its fans what bottles are to babies: something for which they perpetually hunger.
0.303,0.468,0.229,-0.3774,So they haunt bookstores with names like Foul Play and Scene of the Crime.
0.0,1.0,0.0,0.0,They pause for a tour of airport paperbacks even while the flight attendant announces boarding.
0.093,0.7,0.207,0.5994,"And they live in fear of the day when their favorite scribbler joins Agatha and Ngaio, Dashiell and Dorothy at that great writers' convention in the sky."
0.114,0.782,0.104,-0.0772,"Last week 700 members of the Mystery Writers of America met in New York to talk about crime and hand out Edgars, the mystery writer's Oscars."
0.113,0.652,0.235,0.5106,"The award is named after Edgar Allan Poe - ground-breaking author of ''The Purloined Letter,'' and ''The Murders in the Rue Morgue,'' and, oh yes, a poet as well."
0.187,0.588,0.225,0.1779,"The Edgars go to the best in crime fiction, nonfiction, film and television."
0.0,0.737,0.263,0.6908,But if true fans had their way they'd surely go to everyone who ever dipped a pen in gore.
0.128,0.64,0.232,0.4767,"Strangling, poisoning and shooting have helped many readers through many nights, and their gratitude is as boundless as the genre they adore."
0.0,1.0,0.0,0.0,"The West wonders how long Mikhail Gorbachev and his policy of perestroika, or restructuring, will last."
0.0,1.0,0.0,0.0,"Russians ask, too, even more fervently."
0.082,0.799,0.119,0.1027,"A Ukrainian writer, Vladimir Drozd, wrote recently in Literaturnaya Gazeta about the fear that came over him as he prepared a speech in support of more reforms: ''And I thought, 'Why does it have to be me?'"
0.444,0.556,0.0,-0.6808,"You can understand my alarm, and even my fear."
0.561,0.439,0.0,-0.7506,"Fear for myself, fear for my family."
0.141,0.859,0.0,-0.5302,"Fear for all of us who can feel their hot breaths on our necks, can see their narrowed wolf-eyes -the eyes of those who do not want the perestroika."
0.0,1.0,0.0,0.0,"''They get together every evening, sit late into the nights, cursing everything new that has come to our lives."
0.102,0.508,0.39,0.7783,Our every mistake or miscalculation gives them unbelievable pleasure - 'See what your precious reform leads to.'
0.11,0.8,0.09,-0.1531,"They watch all of us who speak out today in favor of renewing our society, those of us whose souls still live and who feel pain."
0.0,1.0,0.0,0.0,"And they make lists of our names, for when their day comes round again.''"
0.115,0.812,0.073,-0.128,"By settling a racial discrimination lawsuit filed seven years ago by a black agent against the Federal Bureau of Investigation, Director William Sessions reaffirms his commitment to transform the bureau's culture of minority exclusion."
0.323,0.677,0.0,-0.7351,"The agent, Donald Rochon, first complained about racial harassment while serving in the Omaha office."
0.109,0.57,0.321,0.6249,The charges were upheld by the Justice Department and the Equal Employment Opportunity Commission.
0.0,1.0,0.0,0.0,"In one incident, Mr. Rochon found an ape's head pasted over a photograph of his son on his desk."
0.331,0.669,0.0,-0.8555,"He said that when he was transferred to Chicago in 1984, fellow agents retaliated for similar complaints of his with death threats."
0.0,0.905,0.095,0.2263,"The 40-year-old agent, who is to retire, will receive payments eventually worth more than $1 million, including a full pension."
0.0,1.0,0.0,0.0,But Mr. Sessions has more work to do.
0.162,0.838,0.0,-0.4767,"In 1988 a Federal judge found gross discrimination against Hispanic agents; that case needs to be settled, too."
0.101,0.784,0.116,0.1022,Americans cannot have full confidence in the F.B.I.'s will to enforce civil rights until it makes clearer its own respect for equal treatment.
0.0,1.0,0.0,0.0,"To some it is a redundancy, to others a logical necessity and to still others an excrescence on higher education."
0.0,0.631,0.369,0.802,"It is called ''men's studies,'' and it is said to be enjoying growing popularity on the campus."
0.0,1.0,0.0,0.0,"According to The Washington Post, more than 200 courses are now offered at American colleges ''dealing with some aspect of the male experience.''"
0.0,1.0,0.0,0.0,"There is a quarterly journal, The Men's Studies Review, and a Men's Studies Association with a membership of 150."
0.0,1.0,0.0,0.0,The scholars talk of the need to ''break down the monolithic model of what it is to be a real man.''
0.0,1.0,0.0,0.0,They ask such questions as ''How do these little male babies become men in our culture?''
0.0,1.0,0.0,0.0,They explore male role stereotypes and how men evolve from son to father to grandfather.
0.0,1.0,0.0,0.0,"For all that male focus, 7 of every 10 students taking men's studies courses are women."
0.0,1.0,0.0,0.0,And most of the courses are listed in catalogues under women's or gender studies.
0.0,1.0,0.0,0.0,Male students apparently are incurious about themselves.
0.167,0.833,0.0,-0.25,Or perhaps they see men's studies as women's studies in disguise.
0.0,1.0,0.0,0.0,"If that's the case, then what goes around has come around."
0.208,0.792,0.0,-0.4939,"Women's studies, after all, began with a similar complaint: that the standard college curriculum was men's studies in disguise."
0.237,0.763,0.0,-0.4215,Deep into the grimy city's bowels stride the subway riders.
0.0,1.0,0.0,0.0,"Purses jammed under arms, tokens jammed in hands."
0.118,0.882,0.0,-0.1531,Don't stand too far aside to let people off - you'll miss the seat.
0.0,1.0,0.0,0.0,So goes the routine.
0.0,1.0,0.0,0.0,"Now and again, something different happens."
0.0,1.0,0.0,0.0,''Jesus saves!''
0.0,0.658,0.342,0.9393,"Or, at Times Square, as the shuttle from Grand Central screeches in, a busker sings out in a sweet, clear soprano:  Someone's head resting on my  knee; Warm and tender as he can be, Who takes good care of me."
0.434,0.566,0.0,-0.4717,"Oh, wouldn't it be loverly?"
0.0,0.256,0.744,0.4404,Jaws relax.
0.0,1.0,0.0,0.0,What a song for the subway!
0.0,1.0,0.0,0.0,The doors close.
0.0,0.241,0.759,0.743,The riders smile. Loverly.
0.0,0.954,0.046,0.0772,"On a recent autumn afternoon in New York, a painter stood before the easel he'd set up on Avenue of the Americas, staring intently at the building across the street."
0.0,0.824,0.176,0.4939,"Every minute or so he'd bend his head, lift his hand and apply brush to canvas."
0.0,1.0,0.0,0.0,Then he'd resume staring.
0.102,0.898,0.0,-0.3612,"The building, a nondescript high-rise, had a novelty store on its ground floor, a coat of grime on its bricks and a few scraggly trees out front."
0.0,0.849,0.151,0.5994,"It was a scene only Edward Hopper could have loved, which is why a passer-by paused to see what the artist was making of it."
0.0,1.0,0.0,0.0,He was making nothing of it.
0.0,0.822,0.178,0.4404,"The picture on the easel was a landscape - a grassy field, a clear blue sky and four or five poplars in spring leaf."
0.0,1.0,0.0,0.0,"Avenue of the Americas, it seemed, was his studio, and his subject existed only in his mind's eye."
0.127,0.873,0.0,-0.1531,"But why the stare, the squint, the occasional cock of the head?"
0.0,1.0,0.0,0.0,Is it possible that his country view was occasionally obscured by the roaring traffic?
0.0,1.0,0.0,0.0,Or perhaps all that body language was a way of proclaiming to the passing public that here was an Artist at Work.
0.0,0.848,0.152,0.3612,"Until he was 3, Michael Bennett DiFiglia was probably much like any other small boy."
0.0,1.0,0.0,0.0,"Then he took his first dancing lesson, and an astonishing man of the theater, Michael Bennett, was born."
0.0,1.0,0.0,0.0,"What he knew about his craft, which was just about everything, he learned on stage."
0.0,1.0,0.0,0.0,"At 16 he was a chorus boy; by 23 he was a choreographer; and by the age of 32 he had dreamed up and directed the longest-running musical in Broadway history, ''A Chorus Line.''"
0.0,0.515,0.485,0.765,"When it achieved that distinction, Broadway gave a marvelous party."
0.0,1.0,0.0,0.0,"The Booth Theater became an enormous dressing room; Shubert Alley, an outdoor restaurant, and the Shubert Theater, host to the biggest production of ''A Chorus Line'' ever."
0.0,0.944,0.056,0.25,"More than 300 of the performers who'd doffed their gold toppers to audiences all over the world were there, filling the stage - and the aisles - and evoking every dream anyone ever had about the theater."
0.0,0.571,0.429,0.8176,"If that night celebrated ''A Chorus Line,'' it also honored its creator."
0.0,0.76,0.24,0.6249,"He was, in the words of the show's great kick-line finale, ''One, singular sensation.''"
0.419,0.581,0.0,-0.5574,Michael Bennett died yesterday at 44.
0.0,0.767,0.233,0.4091,"But in so little time, what marvels he had made."
0.0,0.932,0.068,0.0258,A Congress more conscious of public health and nutrition is finally moving to toughen food labeling rules.
0.0,0.766,0.234,0.5994,Legislation just approved by a House Energy and Commerce subcommittee would require more explicit nutrition information on package labels.
0.213,0.787,0.0,-0.4019,But the bill would still permit misleading nutrition claims on packages.
0.0,1.0,0.0,0.0,"The measure, sponsored by Representative Henry Waxman, would require uniform listing of saturated fat, cholesterol and fiber on almost all packaged foods, a big advance."
0.274,0.726,0.0,-0.34,But amendments pressed by the food industry leave room for confusion.
0.0,1.0,0.0,0.0,"For example, manufacturers could still label as ''dietary'' frozen dinners that contain excessive fat."
0.0,0.854,0.146,0.4404,Supporters of the provision say Congress shouldn't be in the business of dictating brand names and package copy.
0.0,0.607,0.393,0.7564,But tighter regulation would more likely encourage companies to improve their ingredients.
0.157,0.843,0.0,-0.3818,There's still time for the full House committee to close loopholes that threaten public health.
0.0,1.0,0.0,0.0,"Plymouth, Mass. -- ""America's home town"" -- has had Fourth of July band music as long as anyone remembers."
